run_root,mesh,traj,policy,trial,n_steps,init_view,final_view,variance_0,variance_final,vrr_final,vrr_best_final,policy_score_final,distance_to_gt_final,success_final
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,random_t2,random,2,3,16,3,4012.111328125,4725.69580078125,-0.17785759524019315,0.0,0.0,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,active_combined_t0,active_combined,0,3,0,22,3726.38330078125,3360.083984375,0.09829888308308327,0.09829888308308327,0.9928560103825066,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,active_combined_t1,active_combined,1,3,8,2,3885.923583984375,4975.634765625,-0.28042527293429315,0.09091326033221746,0.9942964677383265,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,active_combined_t2,active_combined,2,3,16,3,3807.248046875,4270.62646484375,-0.12170954249988843,0.0,0.9939479041735523,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,active_t0,active,0,3,0,23,3726.38330078125,3412.1611328125,0.08432363034228717,0.08432363034228717,0.9718934266536744,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,active_t1,active,1,3,8,1,3885.923583984375,4919.26123046875,-0.2659181592616027,0.05919621872389345,0.9876566919026544,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,active_t2,active,2,3,16,1,3892.61474609375,5078.5146484375,-0.30465380719574264,0.0,0.9881287600218435,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,geometric_t0,geometric,0,3,0,1,3726.38330078125,4722.86083984375,-0.2674114439203248,0.0,0.0,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,geometric_t1,geometric,1,3,8,7,3845.22509765625,3640.8798828125,0.053142588445160975,0.053142588445160975,0.0,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,geometric_t2,geometric,2,3,16,15,3892.61474609375,4175.5908203125,-0.0726956281771057,0.0,0.0,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,random_t0,random,0,3,0,21,3726.38330078125,4747.259765625,-0.2739590596141088,0.0,0.0,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,random_t1,random,1,3,8,0,3885.923583984375,3659.830078125,0.058182694788751696,0.058182694788751696,0.0,nan,
outputs/batch_results/run_20260128_190351,Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,random_t2,random,2,3,16,3,3862.09228515625,4270.62646484375,-0.10578053281059072,0.0,0.0,nan,
